element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,property 1,property 2,property 3,property 4,property 5,property 6
0.0187891440501043,0.0,0.0036534446764091,,0.0036534446764091,0.0026096033402922,0.0,0.0,0.0,0.0015657620041753,0.0026096033402922,0.965553235908142,-0.1082559783834249,-1.0643606141737123,-0.0837079289698843,-0.919783346792968,0.0227848676083176,-0.8323397640449397
,0.0,,,0.0214948705422569,0.0048851978505129,0.0,,0.0,0.0019540791402051,0.0014655593551538,0.9516365412799218,,,-0.3197358896045215,-0.8703471440361784,0.0227907657820267,
0.9705475390393358,0.011860051393556,0.008895038545167,0.0,0.0039533504645186,,0.0003459181656453,0.0040521842261316,0.0003459181656453,0.0,0.0,,-0.1082559783834249,1.245783775224618,0.8375678680543284,1.3516692299106858,0.0271521202964526,-1.2073897128960305
0.7191100516487883,,,0.0516487882399682,0.0198649185538339,0.0,,0.0002979737783075,0.0001489868891537,,0.0,0.0,0.0239311888744429,0.6758681707035548,0.7675373210239447,,-0.0496668227523439,
0.0190566936636493,0.0,,0.0,,,0.0,0.0,0.0,0.3973320628870891,0.0047641734159123,0.0023820867079561,-0.1082559783834249,-0.5125272301595739,-0.0804056748933976,-0.9300035869503752,0.0227541880794664,0.5178400518189868
,0.0,,,0.0097703957010258,0.0004885197850512,,0.0,0.0,0.0009770395701025,,0.9770395701025892,-0.1082559783834249,-1.092094867385965,-0.2364336639890358,-0.903343150862877,0.0227901899050878,
0.0040671072699542,0.0035587188612099,0.0010167768174885,0.0,,,0.0,0.0,,0.0020335536349771,0.0015251652262328,0.9842399593289274,-0.1082559783834249,-1.10973153256756,-0.4411238269798463,-0.9238677821503216,0.0227949315788798,-0.6523157885964161
0.004004004004004,0.0,,,0.002002002002002,0.980980980980981,0.0,,0.0,,,0.002002002002002,-0.1082559783834249,-1.101839920517255,-0.4447758703741862,-0.9253872517191796,0.0227948446017163,-1.0348667364245283
0.0431447746883988,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0047938638542665,0.0958772770853307,,-0.812148872670524,0.1104415278274569,-0.9258270136463232,0.0227644343915952,0.5178400518189868
0.0069444444444444,0.0009920634920634,0.0009920634920634,,0.0039682539682539,0.0019841269841269,0.0,0.0,0.0,,0.0014880952380952,0.9811507936507936,,-1.1021877159879043,-0.3161719007510449,-0.9197726016989828,0.0227923067035439,-0.7348267773436561
